Category,No,KPI Name,Formula,Logic,Purpose,Tracking,API Field,Response Path
VOLUME KPIs,1,Total Amount,SUM(deposit[amount]),Sum dari semua amount dalam periode,Mengukur total nilai transaksi,Daily/Weekly/Monthly,totalAmount,data.volume.totalAmount
VOLUME KPIs,2,Total Transactions,COUNT(*),Count semua transaksi dalam periode,Mengukur volume transaksi,Daily/Weekly/Monthly,totalTransactions,data.volume.totalTransactions
VOLUME KPIs,3,Average Transaction Value,SUM(amount) / COUNT(*),Total amount dibagi total transaksi,Mengukur rata-rata nilai per transaksi,Daily/Weekly/Monthly,avgTransactionValue,data.volume.avgTransactionValue
VOLUME KPIs,4,Automation Amount,SUM(amount) WHERE operator_group = 'Automation',Sum amount hanya untuk transaksi automation,Mengukur nilai transaksi yang di-automate,Daily/Weekly/Monthly,automationAmount,data.volume.automationAmount
VOLUME KPIs,5,Manual Amount,SUM(amount) WHERE operator_group != 'Automation',Sum amount untuk transaksi manual,Mengukur nilai transaksi manual,Daily/Weekly/Monthly,manualAmount,data.volume.manualAmount
AUTOMATION EFFICIENCY KPIs,6,Automation Rate,(COUNT(*) WHERE automation / COUNT(*)) * 100,Prosentase transaksi yang di-automate,Mengukur tingkat otomasi,Daily/Weekly/Monthly,automationRate,data.automation.automationRate
AUTOMATION EFFICIENCY KPIs,7,Manual Processing Rate,(COUNT(*) WHERE manual / COUNT(*)) * 100,Prosentase transaksi manual,Mengukur tingkat manual processing,Daily/Weekly/Monthly,manualProcessingRate,data.automation.manualProcessingRate
AUTOMATION EFFICIENCY KPIs,8,Automation Amount Rate,(SUM(amount) WHERE automation / SUM(amount)) * 100,Prosentase nilai transaksi automation,Mengukur kontribusi nilai automation,Daily/Weekly/Monthly,automationAmountRate,data.automation.automationAmountRate
PROCESSING TIME KPIs,9,Average Processing Time (All),SUM(proc_sec) / COUNT(*),Rata-rata waktu processing semua transaksi,Mengukur efisiensi overall,Daily/Weekly/Monthly,avgProcessingTimeAll,data.processingTime.avgAll
PROCESSING TIME KPIs,10,Average Processing Time (Automation),SUM(proc_sec) WHERE automation / COUNT(*) WHERE automation,Rata-rata waktu processing automation,Mengukur efisiensi automation,Daily/Weekly/Monthly,avgProcessingTimeAutomation,data.processingTime.avgAutomation
PROCESSING TIME KPIs,11,Average Processing Time (Manual),SUM(proc_sec) WHERE manual / COUNT(*) WHERE manual,Rata-rata waktu processing manual,Mengukur efisiensi manual,Daily/Weekly/Monthly,avgProcessingTimeManual,data.processingTime.avgManual
PROCESSING TIME KPIs,12,Processing Time Efficiency Ratio,SUM(proc_sec) ALL / SUM(proc_sec) WHERE automation,Ratio total processing time vs automation,Mengukur efisiensi automation vs total,Daily/Weekly/Monthly,processingTimeEfficiencyRatio,data.processingTime.efficiencyRatio
PERFORMANCE KPIs,13,Overdue Transactions,COUNT(*) WHERE proc_sec > 30,Count transaksi yang processing time > 30 detik,Mengukur transaksi terlambat,Daily/Weekly/Monthly,overdueTransactions,data.performance.overdueTransactions
PERFORMANCE KPIs,14,Fast Processing Rate,(COUNT(*) WHERE proc_sec <= 10 / COUNT(*)) * 100,Prosentase transaksi cepat (â‰¤10 detik),Mengukur performa cepat,Daily/Weekly/Monthly,fastProcessingRate,data.performance.fastProcessingRate
PERFORMANCE KPIs,15,Overdue Rate,(COUNT(*) WHERE proc_sec > 30 / COUNT(*)) * 100,Prosentase transaksi terlambat,Mengukur tingkat keterlambatan,Daily/Weekly/Monthly,overdueRate,data.performance.overdueRate
PERFORMANCE KPIs,16,Automation Overdue,COUNT(*) WHERE automation AND proc_sec > 30,Count automation yang terlambat,Mengukur automation yang bermasalah,Daily/Weekly/Monthly,automationOverdue,data.performance.automationOverdue
PERFORMANCE KPIs,17,Manual Overdue,COUNT(*) WHERE manual AND proc_sec > 30,Count manual yang terlambat,Mengukur manual yang bermasalah,Daily/Weekly/Monthly,manualOverdue,data.performance.manualOverdue
TIME SAVINGS KPIs,18,Time Saved per Transaction,avg_manual_time - avg_automation_time,Selisih waktu manual vs automation,Mengukur waktu tersimpan per transaksi,Daily/Weekly/Monthly,timeSavedPerTransaction,data.timeSavings.timeSavedPerTransaction
TIME SAVINGS KPIs,19,Total Time Saved (Seconds),time_saved_per_transaction * automation_count,Total waktu tersimpan dalam detik,Mengukur total waktu tersimpan,Daily/Weekly/Monthly,totalTimeSavedSeconds,data.timeSavings.totalTimeSavedSeconds
TIME SAVINGS KPIs,20,Total Time Saved (Hours),total_time_saved_seconds / 3600,Total waktu tersimpan dalam jam,Mengukur total waktu tersimpan (jam),Daily/Weekly/Monthly,totalTimeSavedHours,data.timeSavings.totalTimeSavedHours
TIME SAVINGS KPIs,21,Efficiency Improvement,((manual_time - automation_time) / manual_time) * 100,Prosentase peningkatan efisiensi,Mengukur peningkatan efisiensi,Daily/Weekly/Monthly,efficiencyImprovement,data.timeSavings.efficiencyImprovement
DISTRIBUTION KPIs,22,Coverage Rate,(COUNT(*) WHERE automation / COUNT(*)) * 100,Prosentase coverage automation,Mengukur cakupan automation,Daily/Weekly/Monthly,coverageRate,data.coverageRate
DISTRIBUTION KPIs,23,Processing Stats,MIN MAX MEDIAN Q1 Q3 dari proc_sec,Statistik distribusi processing time,Mengukur distribusi waktu processing,Daily/Weekly/Monthly,processingStats,data.processingStats
